id,City,Country,Date,Humidity,Lat,Lng,Cloudiness,Max Temp,Wind Speed
3652764,Puerto Ayora,EC,1661259915,96,-0.7393,-90.3518,100,66.54,8.01
2152659,Port Macquarie,AU,1661259916,69,-31.4333,152.9167,87,54.9,12.95
933186,Orapa,BW,1661259918,19,-21.2833,25.3667,0,79.34,11.21
2155415,New Norfolk,AU,1661259919,82,-42.7826,147.0587,100,44.1,4.0
6166142,Thunder Bay,CA,1661259657,94,48.4001,-89.3168,100,62.51,3.44
305268,Kütahya,TR,1661259921,13,39.4242,29.9833,2,93.15,8.59
1503153,Klyuchi,RU,1661259922,41,52.2667,79.1667,97,63.52,6.85
3448903,São João da Barra,BR,1661259902,65,-21.6403,-41.0511,36,73.49,7.45
2192362,Christchurch,NZ,1661259925,91,-43.5333,172.6333,100,48.9,11.5
377472,Bentiu,SS,1661259926,47,9.2333,29.8333,95,90.91,1.88
964420,Port Elizabeth,ZA,1661259927,61,-33.918,25.5701,11,80.1,8.01
2108502,Honiara,SB,1661259932,83,-9.4333,159.95,8,77.16,5.59
2450173,Taoudenni,ML,1661259933,7,22.6783,-3.9836,64,115.16,7.29
3547867,Manzanillo,CU,1661259935,75,20.3433,-77.1167,36,80.58,3.2
57000,Hobyo,SO,1661259936,70,5.3505,48.5268,80,79.7,29.46
1629380,Ruteng,ID,1661259937,90,-8.6136,120.4721,93,58.46,1.16
5563839,Fortuna,US,1661259938,95,40.5982,-124.1573,100,62.92,9.22
2036892,Hohhot,CN,1661259943,61,40.8106,111.6522,100,59.41,4.72
1150965,Ranong,TH,1661259945,86,9.9658,98.6348,100,79.92,6.82
2212775,Sabha,LY,1661259946,17,27.0377,14.4283,0,101.44,4.63
1861864,Iida,JP,1661259947,99,35.5197,137.8207,97,75.04,3.0
1586350,Cam Ranh,VN,1661259949,69,11.9214,109.1591,20,82.36,13.8
1507390,Dikson,RU,1661259950,99,73.5069,80.5464,100,42.82,7.9
1859964,Kaseda-shirakame,JP,1661259951,81,31.4167,130.3167,100,81.27,6.78
5513343,Sunrise Manor,US,1661259850,41,36.2111,-115.0731,0,86.31,6.91
5870133,Nome,US,1661259953,93,64.5011,-165.4064,75,44.67,3.44
2032614,Baruun-Urt,MN,1661259955,53,46.6806,113.2792,100,55.51,2.06
1254709,Tezu,IN,1661259956,84,27.9167,96.1667,71,84.07,2.01
1068670,Bealanana,MG,1661259957,55,-14.55,48.7333,69,70.25,11.45
1790437,Zhuhai,CN,1661259959,84,22.2769,113.5678,0,89.38,8.05
3982269,Tecalitlán,MX,1661259960,97,19.4667,-103.3,75,66.65,1.97
1649150,Bengkulu,ID,1661259961,87,-3.8004,102.2655,100,77.14,4.56
1850217,Tōkamachi,JP,1661259964,97,37.1333,138.7667,100,78.01,0.65
779554,Honningsvåg,NO,1661259965,62,70.9821,25.9704,75,55.15,46.04
5815136,Washougal,US,1661259966,88,45.5826,-122.3534,20,63.61,4.61
3520064,Salina Cruz,MX,1661259967,72,16.1667,-95.2,6,79.14,5.26
6167817,Torbay,CA,1661259800,78,47.6666,-52.7314,100,71.89,8.84
704839,Koryukivka,UA,1661259970,23,51.7688,32.2481,12,90.63,19.01
2634739,Warrington,GB,1661259971,77,53.3925,-2.5802,75,74.61,10.36
212730,Kisangani,CD,1661259972,59,0.5167,25.2,91,82.44,4.88
6620339,Karratha,AU,1661259974,25,-20.7377,116.8463,0,73.47,15.03
3690572,Acandí,CO,1661259976,95,8.5063,-77.2778,100,76.06,2.53
2142316,Yeppoon,AU,1661259977,74,-23.1333,150.7333,0,62.38,7.65
2122090,Pevek,RU,1661259978,84,69.7008,170.3133,21,44.6,10.02
4803372,Cross Lanes,US,1661259981,98,38.4204,-81.7907,75,69.96,0.0
2638419,Scarborough,GB,1661259722,70,54.2797,-0.4044,96,76.91,1.99
5954718,Flin Flon,CA,1661259988,64,54.7682,-101.865,0,57.63,4.7
638936,Rovaniemi,FI,1661259989,51,66.5,25.7167,0,62.01,17.27
1855540,Naze,JP,1661259990,87,28.3667,129.4833,100,80.28,6.06
2125693,Evensk,RU,1661259992,99,61.95,159.2333,100,49.37,2.28
3893726,Constitución,CL,1661259994,89,-35.3333,-72.4167,100,53.17,3.13
1809461,Guiyang,CN,1661259995,82,26.5833,106.7167,100,75.47,3.94
2630299,Hofn,IS,1661259795,66,64.2539,-15.2082,100,53.62,18.41
2019488,Namtsy,RU,1661259998,95,62.7161,129.6658,100,45.28,4.85
1515029,Ulaangom,MN,1661259999,56,49.9811,92.0667,66,57.4,16.87
2269594,Cascais,PT,1661259821,65,38.6979,-9.4215,20,89.62,3.44
1633070,Palembang,ID,1661260002,78,-2.9167,104.7458,40,82.49,4.61
5924351,Clyde River,CA,1661260003,100,70.4692,-68.5914,100,37.63,18.41
4026082,Lázaro Cárdenas,MX,1661260005,82,17.9583,-102.2,81,78.75,3.91
5991148,Kentville,CA,1661260006,96,45.0835,-64.4988,100,68.13,9.53
5282297,Bethel,US,1661260007,84,41.3712,-73.414,100,75.29,5.75
484646,Tambov,RU,1661260008,22,52.7317,41.4339,4,87.76,13.0
2159220,Mackay,AU,1661260010,84,-21.15,149.2,0,62.69,4.59
2094342,Kavieng,PG,1661260011,70,-2.5744,150.7967,67,81.18,11.18
2132606,Samarai,PG,1661260012,85,-10.6167,150.6667,43,80.42,11.18
2014624,Udachny,RU,1661260014,86,66.4167,112.4,100,43.7,7.61
3466165,Cidreira,BR,1661260015,83,-30.1811,-50.2056,0,62.46,13.35
3141667,Roald,NO,1661260016,59,62.5833,6.1333,0,71.17,8.05
547591,Klimovo,RU,1661260017,25,52.3805,32.1923,15,89.6,18.1
1501377,Kungurtug,RU,1661260019,70,50.5994,97.5228,62,45.95,3.67
3843123,Neuquén,AR,1661259947,53,-38.9516,-68.0591,100,54.28,5.79
6182212,Williams Lake,CA,1661260022,95,52.1415,-122.1445,75,60.37,0.0
1650064,Barabai,ID,1661260023,94,-2.5833,115.3833,100,74.39,2.86
3980198,Villa Corona,MX,1661260024,96,20.4167,-103.6833,73,64.33,1.1
3359638,Walvis Bay,NA,1661260026,62,-22.9575,14.5053,27,65.3,8.59
1214658,Lhokseumawe,ID,1661260027,84,5.1801,97.1507,62,78.75,3.38
3867427,Mayor Pablo Lagerenza,PY,1661260028,39,-19.9309,-60.7718,34,80.98,6.13
352733,Marsá Maţrūḩ,EG,1661260030,56,31.3525,27.2453,16,86.7,14.32
1632694,Pangkalanbuun,ID,1661260031,89,-2.6833,111.6167,100,75.9,3.02
3421719,Narsaq,GL,1661260032,84,60.9167,-46.05,100,46.62,9.62
6096551,Pangnirtung,CA,1661260033,81,66.1451,-65.7125,100,38.35,4.03
3355672,Lüderitz,NA,1661260035,46,-26.6481,15.1594,8,68.11,13.6
2392087,Porto-Novo,BJ,1661260036,86,6.4965,2.6036,100,75.88,10.16
1021360,Ballitoville,ZA,1661260037,65,-29.539,31.2144,0,72.16,20.83
2077895,Alice Springs,AU,1661259759,42,-23.7,133.8833,0,40.55,8.05
3440777,Rocha,UY,1661260040,81,-34.4833,-54.3333,25,56.59,8.86
1696482,Pagudpud,PH,1661260041,95,18.5616,120.7868,100,78.78,4.45
3361934,Saldanha,ZA,1661260042,37,-33.0117,17.9442,0,73.94,7.9
1266305,Kolār,IN,1661260043,63,13.1333,78.1333,100,84.96,9.53
1629974,Rantepao,ID,1661260045,98,-2.9701,119.8978,100,66.25,1.74
1640344,Kendari,ID,1661260046,83,-3.945,122.4989,23,74.16,4.0
3652758,Puerto Baquerizo Moreno,EC,1661260047,85,-0.9,-89.6,100,68.02,11.54
2263905,Ribeira Brava,PT,1661260048,75,32.65,-17.0667,0,81.72,2.8
2236967,Soyo,AO,1661260050,74,-6.1349,12.3689,75,74.93,9.19
935215,Saint-Philippe,RE,1661260051,73,-21.3585,55.7679,39,74.79,14.05
2189343,Kaeo,NZ,1661260052,94,-35.1,173.7833,15,45.32,3.04
2514651,Los Llanos de Aridane,ES,1661260053,81,28.6585,-17.9182,20,78.12,16.11
3374083,Bathsheba,BB,1661260058,70,13.2167,-59.5167,40,86.61,14.97
659169,Hamina,FI,1661260059,67,60.5697,27.1979,20,78.08,6.33
3421319,Nuuk,GL,1661259817,93,64.1835,-51.7216,75,43.41,3.44
3571913,Marsh Harbour,BS,1661259929,73,26.5412,-77.0636,15,83.66,8.21
293842,Kiryat Gat,IL,1661260065,32,31.61,34.7642,0,90.79,13.87
3453586,Piranhas,BR,1661260067,25,-16.4269,-51.8222,0,83.8,9.62
4231997,Avera,US,1661260068,79,33.194,-82.5271,100,73.45,5.32
3470137,Belmonte,BR,1661260069,78,-15.8631,-38.8828,89,72.86,7.67
3598787,Champerico,GT,1661260070,82,14.3,-91.9167,77,75.74,5.75
361291,Hurghada,EG,1661260072,39,27.2574,33.8129,0,95.25,8.16
5905616,Bonnyville,CA,1661260073,68,54.2668,-110.735,27,49.8,2.08
230893,Kitgum,UG,1661260074,43,3.2783,32.8867,69,85.17,1.36
4833403,East Hartford,US,1661259931,97,41.7823,-72.612,100,73.89,5.75
4031637,Lavrentiya,RU,1661260077,87,65.5833,-171.0,0,36.39,3.22
3533022,Alpoyeca,MX,1661260078,94,17.6667,-98.5167,95,67.98,2.95
3146487,Raudeberg,NO,1661260079,65,61.9875,5.1352,73,65.95,1.01
1295765,Sittwe,MM,1661260080,86,20.15,92.9,65,79.79,14.14
3899695,Ancud,CL,1661260082,86,-41.8697,-73.8203,100,43.0,3.09
5354943,Half Moon Bay,US,1661260083,92,37.4636,-122.4286,100,64.02,5.75
2012530,Zhigansk,RU,1661260089,74,66.7697,123.3711,100,45.36,7.43
2027244,Bagdarin,RU,1661260090,86,54.4333,113.6,99,47.91,3.51
2685750,Östersund,SE,1661260091,52,63.1792,14.6357,0,64.85,4.61
1855612,Nara,JP,1661259954,52,34.6851,135.8049,100,86.5,0.69
2047258,Novyy Urgal,RU,1661260094,69,51.0736,132.5642,100,51.33,5.23
1505991,Igarka,RU,1661260095,75,67.4667,86.5833,70,60.69,0.94
3007608,Arrondissement de Lannion,FR,1661260096,69,48.75,-3.4167,100,75.18,8.05
2020838,Lensk,RU,1661260097,88,60.7253,114.9278,100,50.16,3.42
2271968,Aljezur,PT,1661260099,59,37.3191,-8.8033,100,78.91,5.53
3491355,Black River,JM,1661260100,76,18.0264,-77.8487,28,80.8,3.2
4021858,Guerrero Negro,MX,1661260101,86,27.9769,-114.0611,89,70.39,7.67
1106677,Bambous Virieux,MU,1661260102,64,-20.3428,57.7575,20,74.21,10.36
6089245,Norman Wells,CA,1661260104,80,65.282,-126.8329,33,45.77,4.07
601551,Akdepe,TM,1661260105,10,42.0551,59.3788,0,87.35,15.75
1611197,Chiang Khong,TH,1661260106,86,20.2613,100.4046,94,78.64,2.21
2019951,Mirny,RU,1661260109,81,62.5353,113.9611,95,48.24,7.0
4997130,Ingham,US,1661260110,87,42.6,-84.3833,0,63.18,0.0
1637001,Biak,ID,1661260111,82,-0.9131,122.8766,99,74.97,7.4
6690296,Saint-Joseph,RE,1661260112,70,-21.3667,55.6167,32,73.78,14.74
2122104,Petropavlovsk-Kamchatskiy,RU,1661260114,87,53.0452,158.6483,100,57.78,8.23
2032201,Bulgan,MN,1661260115,92,48.8125,103.5347,9,44.37,2.24
5955902,Fort Nelson,CA,1661260116,89,58.8053,-122.7002,26,53.98,2.95
5367788,Lompoc,US,1661260117,98,34.6391,-120.4579,100,57.34,10.36
1851068,Takanabe,JP,1661260119,88,32.1333,131.5,100,80.44,3.38
2618795,Klaksvík,FO,1661260120,95,62.2266,-6.589,73,56.32,10.65
3575051,Arima,TT,1661260121,78,10.6333,-61.2833,25,83.75,3.0
3572906,Andros Town,BS,1661260122,67,24.7,-77.7667,1,85.96,10.8
1494276,Poykovskiy,RU,1661260124,73,61.2333,73.3333,40,73.69,4.47
4033356,Tiarei,PF,1661260125,79,-17.5333,-149.3333,35,73.42,18.66
1166066,Sarai Naurang,PK,1661260127,33,32.8259,70.7814,18,98.83,4.0
2181625,Te Anau,NZ,1661260128,95,-45.4167,167.7167,100,44.89,8.23
5364271,Laguna,US,1661260129,82,38.421,-121.4238,0,69.31,6.91
1855363,Nirasaki,JP,1661260130,83,35.7,138.45,35,81.48,1.39
6355222,Yulara,AU,1661260132,39,-25.2406,130.9889,0,48.16,10.63
3531673,Cancún,MX,1661260133,89,21.1743,-86.8466,40,82.33,4.61
2297834,Mpraeso,GH,1661260134,90,6.5932,-0.7346,100,70.39,4.09
3835869,Santiago del Estero,AR,1661259836,26,-27.7951,-64.2615,0,63.5,4.79
1308522,Monywa,MM,1661260089,67,22.1167,95.1333,48,85.93,6.29
2016680,Shirokiy,RU,1661260137,63,49.758,129.523,0,56.28,13.09
1806993,Huayang,CN,1661260139,82,34.4155,109.9939,57,65.03,8.03
3480908,La Asuncion,VE,1661260140,74,11.0333,-63.8628,90,80.15,4.29
2191562,Dunedin,NZ,1661260141,69,-45.8742,170.5036,100,51.8,1.99
2961459,Skibbereen,IE,1661260143,67,51.55,-9.2667,71,66.25,9.01
2168305,Dubbo,AU,1661259940,93,-32.25,148.6167,100,37.53,8.05
1493623,Rodino,RU,1661260145,39,52.5,80.25,100,63.55,8.81
2178174,Albury,AU,1661260146,90,-36.0833,146.9167,1,39.33,3.49
287286,Muscat,OM,1661260147,55,23.6139,58.5922,79,89.62,9.73
3523127,Mixquiahuala de Juarez,MX,1661260149,89,20.2333,-99.2167,6,56.12,2.37
2418437,Kouroussa,GN,1661260150,70,10.65,-9.8833,100,82.99,7.4
1626542,Sorong,ID,1661260151,82,-0.8833,131.25,100,78.8,3.22
2036959,Heishan,CN,1661259922,69,41.6892,122.1128,100,63.99,5.61
1808857,Hanzhong,CN,1661260154,60,33.0728,107.0303,46,82.71,9.73
108410,Riyadh,SA,1661259890,10,24.6877,46.7219,22,111.34,10.54
2178753,Kirakira,SB,1661260156,80,-10.4544,161.9205,91,78.94,8.7
1738050,Marabu,MY,1661260157,75,4.4148,114.0089,100,80.64,3.94
5134295,Rome,US,1661260158,95,43.2128,-75.4557,100,69.94,0.0
2112802,Hasaki,JP,1661260160,93,35.7333,140.8333,100,81.28,11.65
3466704,Castro,BR,1661260161,70,-24.7911,-50.0119,0,58.01,5.99
2289887,Divo,CI,1661260162,82,5.8397,-5.36,100,78.37,5.37
3395981,Maceió,BR,1661260163,88,-9.6658,-35.7353,75,74.64,11.5
2034440,Tieli,CN,1661260165,71,46.95,128.05,0,54.27,4.99
5789856,Cheney,US,1661259986,55,47.4874,-117.5758,20,64.42,3.44
1701054,Marawi,PH,1661260167,95,7.9986,124.2928,100,69.75,3.38
3354077,Opuwo,NA,1661260169,6,-18.0607,13.84,5,84.78,4.99
2460546,Banamba,ML,1661260171,45,13.55,-7.45,57,91.63,1.07
3430443,Necochea,AR,1661260172,68,-38.5473,-58.7368,0,51.42,14.54
1152377,Lat Yao,TH,1661260173,76,15.751,99.7893,68,82.94,0.83
3428068,San Vicente,AR,1661260174,64,-26.6167,-54.1333,5,67.8,3.71
3982837,Sonoita,MX,1661260176,65,31.85,-112.8333,14,82.67,0.89
1270827,Gua,IN,1661260177,84,22.2,85.3833,100,77.74,1.63
1655124,Phonhong,LA,1661260178,85,18.5007,102.4166,100,80.46,1.81
3897347,Calama,CL,1661260180,6,-22.4667,-68.9333,0,45.09,19.57
3459909,Jerônimo Monteiro,BR,1661260181,49,-20.7894,-41.395,0,76.44,3.06
6141439,Sault Ste. Marie,CA,1661260159,90,46.5168,-84.3333,20,64.69,11.5
88533,Awjilah,LY,1661260183,20,29.1081,21.2869,0,98.31,17.49
686090,Asău,RO,1661260186,60,46.4333,26.4,100,81.52,0.76
3443061,Chui,UY,1661260191,81,-33.6971,-53.4616,53,57.54,7.38
6050066,La Ronge,CA,1661260193,72,55.1001,-105.2842,2,56.03,4.61
161616,Balkanabat,TM,1661260154,8,39.5108,54.3671,0,90.97,9.04
2128867,Noshiro,JP,1661260195,83,40.2039,140.0242,97,70.0,7.72
3372472,Vila Franca do Campo,PT,1661260132,59,37.7167,-25.4333,94,75.61,6.76
3386213,Touros,BR,1661260045,80,-5.1989,-35.4608,100,78.71,14.61
2070998,Geraldton,AU,1661260198,58,-28.7667,114.6,100,55.81,12.66
3421982,Maniitsoq,GL,1661260199,90,65.4167,-52.9,100,43.23,13.58
141736,Bam,IR,1661260201,5,29.106,58.357,0,90.46,18.57
2194098,Ahipara,NZ,1661260202,87,-35.1667,173.1667,9,53.06,4.29
3401148,Cururupu,BR,1661260203,50,-1.8283,-44.8683,100,87.17,6.67
3421193,Paamiut,GL,1661260205,82,61.994,-49.6678,100,45.41,42.05
467527,Savinskiy,RU,1661260206,67,62.9342,40.1361,98,72.73,6.22
1714733,Dingle,PH,1661260207,89,10.9995,122.6711,100,76.06,6.4
2264557,Ponta do Sol,PT,1661260208,73,32.6667,-17.1,1,81.72,3.15
4013039,Concepción del Oro,MX,1661260210,63,24.6333,-101.4167,68,63.79,4.79
2027044,Batagay,RU,1661260215,82,67.6333,134.6333,100,43.56,4.56
1444363,Nuristan,AF,1661260217,71,35.3,70.8333,69,50.34,1.48
217562,Butembo,CD,1661260218,72,0.15,29.2833,74,68.88,1.32
3423146,Ilulissat,GL,1661260219,81,69.2167,-51.1,75,50.02,12.66
2905599,Hersbruck,DE,1661260220,39,49.5125,11.4339,0,82.74,5.55
1651810,Airai,TL,1661260222,89,-8.9266,125.4092,10,55.22,3.78
1785018,Zhangzhou,CN,1661260223,82,24.5133,117.6556,91,82.29,2.17
2177069,Ballina,AU,1661260224,68,-28.8667,153.5667,28,57.24,18.12
464790,Zapolyarnyy,RU,1661260226,52,69.4154,30.8136,61,63.68,28.86
6943832,Riviere-au-Renard,CA,1661260227,76,48.9957,-64.3971,100,68.11,0.63
2377457,Nouadhibou,MR,1661260228,90,20.931,-17.0347,100,71.55,14.27
1630639,Pringsewu,ID,1661260229,95,-5.3582,104.9744,74,74.53,1.12
